Word,Frequency,Abc Hash,Qwerty Hash,As name
attachments,8,17711352576,42247581824,0,0.0
attack,563,177114,422476,3,0.0053285968028419185
attacked,235,17711422,42247614,0,0.0
attacker,25,17711426,42247612,0,0.0
attackers,27,177114266,422476124,0,0.0
attacking,83,177114353,422476385,0,0.0
attacks,85,1771146,4224764,0,0.0
attain,13,177135,422438,0,0.0
attained,14,17713522,42243814,0,0.0
attainments,2,17713552576,42243881824,0,0.0
attalus,4,1771476,4224624,0,0.0
attemp,2,177256,422183,0,0.0
attempt,575,1772567,4221832,3,0.0052173913043478265
attempted,331,177256722,422183214,0,0.0
attempting,206,1772567353,4221832385,0,0.0
attempts,107,17725676,42218324,0,0.0
attend,137,177252,422184,0,0.0
attendance,29,1772521512,4221844871,1,0.034482758620689655
attendant,38,177252157,422184482,0,0.0
attendants,25,1772521576,4221844824,0,0.0
attended,80,17725222,42218414,0,0.0
attendees,4,177252226,422184114,0,0.0
attending,29,177252353,422184385,0,0.0
attends,6,1772526,4221844,0,0.0
attention,1107,177257355,422182338,0,0.0
attentions,35,1772573556,4221823384,0,0.0
attentive,40,177257372,422182381,0,0.0
attentively,17,17725737248,42218238162,0,0.0
attentiveness,7,1772573725266,4221823818144,0,0.0
attenuate,2,177257172,422182421,0,0.0
attenuated,7,1772571722,4221824214,0,0.0
attest,3,177267,422142,0,0.0
attested,2,17726722,42214214,0,0.0
atthe,7,17732,42251,0,0.0
attic,69,17731,42237,0,0.0
attica,2,177311,422374,2,1.0
attics,12,177316,422374,0,0.0
attire,13,177362,422321,0,0.0
attired,7,1773622,4223214,0,0.0
attitude,117,17737722,42232241,0,0.0
attitudes,9,177377226,422322414,0,0.0
attlee,6,177422,422611,6,1.0
attorney,21,17756528,42232812,0,0.0
attract,54,1776117,4222472,0,0.0
attracted,99,177611722,422247214,0,0.0
attracting,23,1776117353,4222472385,0,0.0
attraction,21,1776117355,4222472338,0,0.0
attractions,19,17761173556,42224723384,0,0.0
attractive,112,1776117372,4222472381,1,0.008928571428571428
attractively,6,177611737248,422247238162,0,0.0
attractiveness,6,17761173725266,42224723818144,0,0.0
attracts,9,17761176,42224724,0,0.0
attribute,8,177631772,422238221,0,0.0
attributed,11,1776317722,4222382214,0,0.0
attributing,2,17763177353,42223822385,0,0.0
attuned,3,1777522,4222814,0,0.0
atus,2,1776,4224,0,0.0
atv,4,177,428,0,0.0
atwww,2,17888,42111,0,0.0
atyou,3,17857,42232,0,0.0
atypical,3,17863114,42233746,0,0.0
au,11,17,42,1,0.09090909090909091
aubrey,64,171628,428212,57,0.890625
auburn,5,171765,428228,0,0.0
auckland,2,17144152,42766484,2,1.0
auction,10,1717355,4272338,0,0.0
audacious,7,172113576,424473324,0,0.0
audacity,7,17211378,42447322,0,0.0
audi,2,1723,4243,2,1.0
audible,66,1723142,4243861,0,0.0
audibly,10,1723148,4243862,0,0.0
audience,145,17232512,42431871,0,0.0
audio,41,17235,42433,0,0.0
audiofiler,3,1723523426,4243353612,0,0.0
audit,9,17237,42432,3,0.3333333333333333
auditing,2,17237353,42432385,0,0.0
audition,95,17237355,42432338,0,0.0
auditioned,2,1723735522,4243233814,0,0.0
auditioning,5,17237355353,42432338385,0,0.0
auditions,11,172373556,424323384,0,0.0
auditor,522,1723756,4243232,517,0.9904214559386973
auditorial,21,1723756314,4243232346,21,1.0
auditorium,13,1723756375,4243232328,6,0.46153846153846156
auditors,78,17237566,42432324,75,0.9615384615384616
auditorship,5,17237566336,42432324533,5,1.0
auditory,3,17237568,42432322,0,0.0
audits,4,172376,424324,0,0.0
augment,6,1735257,4258182,0,0.0
augmentation,5,173525717355,425818242338,0,0.0
augmented,14,173525722,425818214,0,0.0
augmenting,3,1735257353,4258182385,0,0.0
augurey,12,1737628,4252212,11,0.9166666666666666
augureys,4,17376286,42522124,4,1.0
augury,2,173768,425222,0,0.0
august,55,173767,425242,43,0.7818181818181819
augusta,4,1737671,4252424,2,0.5
augustine,3,173767352,425242381,1,0.3333333333333333
augustus,11,17376776,42524224,10,0.9090909090909091
aunt,1066,1757,4282,585,0.5487804878048781
auntie,48,175732,428231,36,0.75
aunts,13,17576,42824,0,0.0
aura,46,1761,4224,0,0.0
aural,2,17614,42246,0,0.0
aureole,4,1762542,4221361,0,0.0
aurie,2,17632,42231,2,1.0
auror,96,17656,42232,91,0.9479166666666666
aurora,12,176561,422324,9,0.75
aurors,64,176566,422324,62,0.96875
auson,172,17655,42438,128,0.7441860465116279
auspicious,6,1766313576,4243373324,0,0.0
austere,49,1767262,4242121,0,0.0
austerely,6,176726248,424212162,0,0.0
austerity,8,176726378,424212322,0,0.0
austin,7,176735,424238,7,1.0
australia,27,176761431,424224634,27,1.0
australian,17,1767614315,4242246348,14,0.8235294117647058
australians,2,17676143156,42422463484,2,1.0
australopithecus,2,1767614563732176,4242246333251724,0,0.0
austrian,5,17676315,42422348,5,1.0
austro,2,176765,424223,2,1.0
authentic,21,177325731,422518237,0,0.0
authentically,2,1773257311448,4225182374662,0,0.0
authenticity,13,177325731378,422518237322,0,0.0
author,133,177356,422532,8,0.06015037593984962
authorisation,4,1773563617355,4225323442338,0,0.0
authoritarian,2,1773563716315,4225323242348,0,0.0
authoritative,15,1773563717372,4225323242381,0,0.0
authoritatively,2,177356371737248,422532324238162,0,0.0
authorities,102,17735637326,42253232314,1,0.00980392156862745
authority,201,177356378,422532322,13,0.06467661691542288
authorization,24,1773563817355,4225323742338,0,0.0
authorize,9,177356382,422532371,0,0.0
authorized,33,1773563822,4225323714,2,0.06060606060606061
authors,20,1773566,4225324,0,0.0
authortracker,2,1773567611426,4225322247612,0,0.0
auto,21,1775,4223,0,0.0
autobiographical,2,1775135361633114,4223833524353746,0,0.0
autobiography,8,1775135361638,4223833524352,1,0.125
autocab,2,1775111,4223748,0,0.0
autocrat,2,17751617,42237242,0,0.0
autograph,18,177536163,422352435,0,0.0
autographed,3,17753616322,42235243514,1,0.3333333333333333
autographs,9,1775361636,4223524354,0,0.0
automated,34,177551722,422384214,0,0.0
automatic,66,177551731,422384237,0,0.0
automatically,159,1775517311448,4223842374662,0,0.0
automaton,3,177551755,422384238,0,0.0
autonomic,2,177555531,422383837,0,0.0
autonomous,3,1775555576,4223838324,0,0.0
autonomy,6,17755558,42238382,0,0.0
autopilot,3,177563457,422333632,0,0.0
autopsies,6,177566326,422334314,0,0.0
autopsy,31,1775668,4223342,0,0.0
autotranscription,2,17757615616367355,42232248472332338,0,0.0
autumn,75,177755,422288,5,0.06666666666666667
autumnal,7,17775514,42228846,0,0.0
auxiliary,9,178343168,427363422,1,0.1111111111111111
auxilosphere,9,178345663262,427363435121,9,1.0
avada,29,17121,48444,14,0.4827586206896552
avail,11,17134,48436,0,0.0
availability,2,171341134378,484364836322,0,0.0
available,137,171341142,484364861,0,0.0
availed,3,1713422,4843614,0,0.0
avakli,78,171443,484663,61,0.782051282051282
avalanche,11,171415132,484648751,0,0.0
avalokitesvara,10,17145437267161,48463632148424,9,0.9
avalon,13,171455,484638,12,0.9230769230769231
avant,2,17157,48482,0,0.0
avarice,4,1716312,4842371,0,0.0
ave,55,172,481,0,0.0
avenge,20,172532,481851,0,0.0
avenged,7,1725322,4818514,0,0.0
avenger,4,1725326,4818512,0,0.0
avenging,4,17253353,48185385,0,0.0
avenue,47,172572,481821,22,0.46808510638297873
avenues,2,1725726,4818214,0,0.0
average,102,1726132,4812451,1,0.00980392156862745
averaged,2,17261322,48124514,0,0.0
averages,2,17261326,48124514,0,0.0
averaging,5,172613353,481245385,0,0.0
averred,2,1726622,4812214,0,0.0
averse,20,172662,481241,0,0.0
aversion,24,17266355,48124338,0,0.0
avert,13,17267,48122,0,0.0
averted,27,1726722,4812214,0,0.0
averting,6,17267353,48122385,0,0.0
avery,31,17268,48122,19,0.6129032258064516
avians,2,173156,483484,0,0.0
aviation,2,17317355,48342338,0,0.0
avid,12,1732,4834,0,0.0
avidity,2,1732378,4834322,0,0.0
avidly,27,173248,483462,0,0.0
avoid,320,17532,48334,2,0.00625
avoidance,6,175321512,483344871,0,0.0
avoided,94,1753222,4833414,0,0.0
avoiding,112,17532353,48334385,0,0.0
avoids,5,175326,483344,0,0.0
avor,2,1756,4832,0,0.0
avowed,9,175822,483114,0,0.0
aw,24,18,41,2,0.08333333333333333
await,43,18137,41432,0,0.0
awaited,29,1813722,4143214,0,0.0
awaiting,68,18137353,41432385,0,0.0
awaits,19,181376,414324,0,0.0
awake,302,18142,41461,0,0.0
awaken,3,181425,414618,0,0.0
awakened,30,18142522,41461814,0,0.0
awakening,13,181425353,414618385,0,0.0
awakens,2,1814256,4146184,0,0.0
awakes,2,181426,414614,0,0.0
award,88,18162,41424,46,0.5227272727272727
awarded,33,1816222,4142414,0,0.0
awarding,3,18162353,41424385,0,0.0
awards,34,181626,414244,20,0.5882352941176471
aware,451,18162,41421,0,0.0
awareness,54,181625266,414218144,2,0.037037037037037035
awash,16,18163,41445,0,0.0
away,5645,1818,4142,7,0.0012400354295837024
awaywith,2,18188373,41421325,0,0.0
awe,47,182,411,0,0.0
awed,53,1822,4114,0,0.0
awerewolf,2,182628542,411211365,0,0.0
awesome,23,1826552,4114381,2,0.08695652173913043
awestruck,23,182676714,411422276,0,0.0
awful,266,18274,41526,4,0.015037593984962405
awfully,70,1827448,4152662,1,0.014285714285714285
awfulness,2,182745266,415268144,0,0.0
awhat,8,18317,41542,0,0.0
awhile,10,183342,415361,0,0.0
awhirl,3,183364,415326,0,0.0
awitch,2,183713,413275,0,0.0
awizard,2,1838162,4137424,0,0.0
awk,3,184,416,0,0.0
awkward,229,1848162,4161424,2,0.008733624454148471
awkwardly,113,184816248,416142462,2,0.017699115044247787
awkwardness,22,18481625266,41614248144,0,0.0
awl,7,184,416,0,0.0
awn,3,185,418,0,0.0
awning,20,185353,418385,0,0.0
awnings,10,1853536,4183854,0,0.0
awoke,79,18542,41361,0,0.0
awoken,21,185425,413618,0,0.0
awol,10,1854,4136,0,0.0
awoman,3,185515,413848,0,0.0
awooden,2,1855225,4133418,0,0.0
awry,20,1868,4122,0,0.0
aww,2,188,411,1,0.5
ax,8,18,47,0,0.0
axe,19,182,471,2,0.10526315789473684
axebanger,4,182115326,471848512,4,1.0
axed,3,1822,4714,0,0.0
axes,2,1826,4714,0,0.0
axiom,7,18355,47338,0,0.0
axis,12,1836,4734,3,0.25
axle,9,1842,4761,0,0.0
axminster,3,185356726,478384212,3,1.0
ay,10,18,42,1,0.1
ayako,5,18145,42463,5,1.0
aye,87,182,421,0,0.0
ayes,2,1826,4214,0,0.0
ayrshires,2,186633626,422453214,2,1.0
ayup,5,1876,4223,0,0.0
az,3,18,47,0,0.0
aziz,14,1838,4737,8,0.5714285714285714
azkaban,247,1841115,4764848,237,0.9595141700404858
azure,4,18762,47221,2,0.5
azzie,2,18832,47731,0,0.0
b,272,1,8,0,0.0
ba,427,11,84,134,0.31381733021077285
baba,35,1111,8484,34,0.9714285714285714
babberton,2,111126755,848812238,2,1.0
babbitty,2,11113778,84883222,1,0.5
babble,62,111142,848861,0,0.0
babbled,13,1111422,8488614,0,0.0
babbles,4,1111426,8488614,0,0.0
babbling,44,11114353,84886385,3,0.06818181818181818
babe,30,1112,8481,0,0.0
babes,12,11126,84814,0,0.0
babies,200,111326,848314,4,0.02
baboon,15,111555,848338,0,0.0
baboons,2,1115556,8483384,0,0.0
baby,1104,1118,8482,34,0.030797101449275364
babyhood,3,11183552,84825334,0,0.0
babysit,6,1118637,8482432,0,0.0
babysitter,7,1118637726,8482432212,0,0.0
babysitters,2,11186377266,84824322124,0,0.0
babysitting,7,11186377353,84824322385,1,0.14285714285714285
bachelor,64,11132456,84751632,4,0.0625
bachelorette,7,111324562772,847516321221,1,0.14285714285714285
bachelors,8,111324566,847516324,0,0.0
back,16280,1114,8476,21,0.0012899262899262898
backbeyond,4,1114128552,8476812384,0,0.0
backbone,16,11141552,84768381,3,0.1875
backbrain,2,111416135,847682438,0,0.0
backcountry,40,11141575768,84767328222,0,0.0
backdrop,16,11142656,84764233,0,0.0
backed,251,111422,847614,0,0.0
backer,7,111426,847612,0,0.0
backers,3,1114266,8476124,0,0.0
backfire,8,11142362,84765321,0,0.0
backfired,18,111423622,847653214,0,0.0
backfiring,6,1114236353,8476532385,0,0.0
backflips,2,111424366,847656334,0,0.0
backgammon,3,1114315555,8476548838,1,0.3333333333333333
background,142,1114365752,8476523284,0,0.0
backgrounds,5,11143657526,84765232844,0,0.0
backhand,4,11143152,84765484,0,0.0
backhanded,8,1114315222,8476548414,0,0.0
backhanders,2,11143152266,84765484124,0,0.0
backing,66,1114353,8476385,0,0.0
backlash,7,11144163,84766445,0,0.0
backless,2,11144266,84766144,0,0.0
backlit,3,1114437,8476632,0,0.0
backlog,2,1114453,8476635,0,0.0
backpack,21,11146114,84763476,0,0.0
backpacking,4,11146114353,84763476385,0,0.0
backpacks,2,111461146,847634764,0,0.0
backrest,2,11146267,84762142,0,0.0
backs,102,11146,84764,0,0.0
backseat,20,11146217,84764142,0,0.0
backside,40,11146322,84764341,0,0.0
backspace,2,111466112,847643471,0,0.0
backsplash,6,1114664163,8476436445,0,0.0
backstage,5,111467132,847642451,0,0.0
backstairs,2,1114671366,8476424324,0,0.0
backtrack,4,111476114,847622476,0,0.0
backtracked,6,11147611422,84762247614,0,0.0
backtracking,2,111476114353,847622476385,0,0.0
backup,63,111476,847623,0,0.0
backups,4,1114766,8476234,0,0.0
backward,279,11148162,84761424,0,0.0
backwards,222,111481626,847614244,1,0.0045045045045045045
backwash,6,11148163,84761445,0,0.0
backwater,21,111481726,847614212,10,0.47619047619047616
backwoods,2,111485526,847613344,0,0.0
backyard,8,11148162,84762424,0,0.0
bacon,53,11155,84738,0,0.0
bacteria,9,11172631,84721234,0,0.0
bacterial,2,111726314,847212346,1,0.5
bactine,2,1117352,8472381,2,1.0
bad,1867,112,844,11,0.0058918050348152114
baddest,7,1122267,8444142,0,0.0
baddish,2,1122363,8444345,0,0.0
baddock,4,1122514,8444376,3,0.75
baddy,2,11228,84442,0,0.0
bade,41,1122,8441,0,0.0
badge,109,11232,84451,0,0.0
badger,23,112326,844512,0,0.0
badgered,10,11232622,84451214,0,0.0
badgering,15,112326353,844512385,0,0.0
badges,46,112326,844514,0,0.0
badlands,2,11241526,84464844,0,0.0
badley,4,112428,844612,4,1.0
badly,311,11248,84462,0,0.0
badminton,3,112535755,844838238,0,0.0
badness,2,1125266,8448144,0,0.0
baen,4,1125,8418,4,1.0
baffle,2,112242,845561,0,0.0
baffled,77,1122422,8455614,0,0.0
bafflement,29,1122425257,8455618182,0,0.0
baffling,20,11224353,84556385,0,0.0
bag,807,113,845,9,0.011152416356877323
bagatelle,2,113172442,845421661,2,1.0
bagel,6,11324,84516,0,0.0
bagels,8,113246,845164,0,0.0
baggage,45,1133132,8455451,1,0.022222222222222223
bagged,5,113322,845514,0,0.0
bagging,7,1133353,8455385,0,0.0
baggy,30,11338,84552,0,0.0
bagman,233,113515,845848,177,0.759656652360515
bagnold,2,1135542,8458364,2,1.0
bagpipes,7,11363626,84533314,0,0.0
bags,221,1136,8454,1,0.004524886877828055
bagshot,25,1136357,8454532,25,1.0
bah,4,113,845,0,0.0
bail,17,1134,8436,0,0.0
bailed,6,113422,843614,0,0.0
bailey,5,113428,843612,5,1.0
bailing,3,1134353,8436385,0,0.0
bait,83,1137,8432,0,0.0
baited,20,113722,843214,0,0.0
baiting,17,1137353,8432385,0,0.0
baits,2,11376,84324,0,0.0
bake,10,1142,8461,0,0.0
baked,35,11422,84614,0,0.0
baker,184,11426,84612,174,0.9456521739130435
bakerbun,5,11426175,84612828,5,1.0
bakerlocal,8,1142645114,8461263746,0,0.0
bakers,6,114266,846124,5,0.8333333333333334
bakersfield,2,11426623242,84612453164,2,1.0
bakery,25,114268,846122,3,0.12
bakes,3,11426,84614,0,0.0
baking,17,114353,846385,1,0.058823529411764705
balaclava,8,114114171,846476484,0,0.0
balance,185,1141512,8464871,0,0.0
balanced,82,11415122,84648714,0,0.0
balances,4,11415126,84648714,0,0.0
balancing,35,114151353,846487385,0,0.0
balconies,11,114155326,846738314,0,0.0
balcony,176,1141558,8467382,1,0.005681818181818182
bald,129,1142,8464,0,0.0
balded,2,114222,846414,0,0.0
balder,6,114226,846412,0,0.0
balderdash,5,1142262163,8464124445,0,0.0
baldest,3,1142267,8464142,0,0.0
balding,38,1142353,8464385,0,0.0
baldly,12,114248,846462,0,0.0
baldness,3,11425266,84648144,0,0.0
baldor,2,114256,846432,0,0.0
baldric,7,1142631,8464237,0,0.0
baldwin,4,1142835,8464138,3,0.75
baldy,2,11428,84642,1,0.5
bale,7,1142,8461,0,0.0
baleful,8,1142274,8461526,0,0.0
balefully,6,114227448,846152662,0,0.0
balk,3,1144,8466,0,0.0
balked,7,114422,846614,0,0.0
balking,2,1144353,8466385,0,0.0
balky,5,11448,84662,0,0.0
ball,350,1144,8466,35,0.1
balla,4,11441,84664,0,0.0
ballad,15,114412,846644,1,0.06666666666666667
ballads,8,1144126,8466444,0,0.0
ballarat,12,11441617,84664242,10,0.8333333333333334
balled,18,114422,846614,0,0.0
ballerina,4,114426351,846612384,0,0.0
ballet,33,114427,846612,10,0.30303030303030304
ballistic,8,114436731,846634237,0,0.0
balloon,32,1144555,8466338,0,0.0
ballooned,2,114455522,846633814,0,0.0
ballooning,2,1144555353,8466338385,0,0.0
balloons,25,11445556,84663384,0,0.0
ballot,3,114457,846632,0,0.0
ballpark,3,11446164,84663426,0,0.0
ballroom,30,11446555,84662338,1,0.03333333333333333
balls,114,11446,84664,5,0.043859649122807015
ballsy,2,114468,846642,0,0.0
balm,6,1145,8468,0,0.0
balmoral,13,11455614,84683246,13,1.0
balmy,11,11458,84682,0,0.0
balustrade,25,1147676122,8462422441,0,0.0
balustraded,4,11476761222,84624224414,0,0.0
balustrades,2,11476761226,84624224414,0,0.0
balzac,16,114811,846747,14,0.875
bam,15,115,848,0,0.0
bambi,4,11513,84883,3,0.75
bamboo,3,115155,848833,0,0.0
bamboozled,10,1151558422,8488337614,8,0.8
ban,33,115,848,6,0.18181818181818182
banal,6,11514,84846,0,0.0
banality,2,11514378,84846322,0,0.0
banana,19,115151,848484,3,0.15789473684210525
bananas,9,1151516,8484844,0,0.0
band,149,1152,8484,11,0.0738255033557047
bandage,50,1152132,8484451,0,0.0
bandaged,38,11521322,84844514,0,0.0
bandages,61,11521326,84844514,0,0.0
bandaging,7,115213353,848445385,0,0.0
banded,2,115222,848414,0,0.0
banderby,3,11522618,84841282,3,1.0
bandied,4,1152322,8484314,0,0.0
bandit,47,115237,848432,0,0.0
banditry,2,11523768,84843222,0,0.0
bandits,105,1152376,8484324,0,0.0
bandolier,4,115254326,848436312,0,0.0
bandoliers,3,1152543266,8484363124,0,0.0
bandon,2,115255,848438,2,1.0
bands,41,11526,84844,0,0.0
bandwagon,2,115281355,848414538,0,0.0
bandwidth,2,115283273,848413425,0,0.0
bandy,18,11528,84842,0,0.0
bandying,2,11528353,84842385,0,0.0
bane,61,1152,8481,47,0.7704918032786885
bang,169,1153,8485,1,0.005917159763313609
banged,73,115322,848514,0,0.0
banger,3,115326,848512,1,0.3333333333333333
banges,6,115326,848514,6,1.0
banging,74,1153353,8485385,0,0.0
bangle,2,115342,848561,0,0.0
bangles,10,1153426,8485614,0,0.0
bangs,44,11536,84854,0,0.0
banish,10,115363,848345,0,0.0
banished,45,11536322,84834514,2,0.044444444444444446
banishing,7,115363353,848345385,2,0.2857142857142857
banishment,12,1153635257,8483458182,0,0.0
banister,12,11536726,84834212,0,0.0
banisters,16,115367266,848342124,0,0.0
banjos,2,115456,848634,0,0.0
bank,330,1154,8486,25,0.07575757575757576
banked,28,115422,848614,0,0.0
banker,36,115426,848612,0,0.0
bankers,9,1154266,8486124,1,0.1111111111111111
banking,23,1154353,8486385,0,0.0
bankrupt,5,11546767,84862232,0,0.0
bankruptcy,3,1154676718,8486223272,0,0.0
bankrupted,4,1154676722,8486223214,0,0.0
banks,82,11546,84864,0,0.0
banned,45,115522,848814,0,0.0
banner,33,115526,848812,1,0.030303030303030304
bannerji,65,11552643,84881263,43,0.6615384615384615
banners,14,1155266,8488124,0,0.0
banning,8,1155353,8488385,0,0.0
bannister,24,115536726,848834212,19,0.7916666666666666
banquet,35,1156727,8481212,0,0.0
banquets,3,11567276,84812124,0,0.0
banquettes,3,1156727726,8481212214,0,0.0
banshee,11,1156322,8484511,4,0.36363636363636365
banter,14,115726,848212,0,0.0
baocia,43,115131,843734,42,0.9767441860465116
bap,2,116,843,0,0.0
bapstein,4,11667235,84342138,4,1.0
baptism,3,1167365,8432348,0,0.0
bar,386,116,842,31,0.08031088082901554
barb,2,1161,8428,0,0.0
barbados,14,11611256,84284434,13,0.9285714285714286
barbara,6,1161161,8428424,5,0.8333333333333334
barbarian,10,116116315,842842348,0,0.0
barbarians,11,1161163156,8428423484,0,0.0
barbaric,7,11611631,84284237,0,0.0
barbecue,8,11612172,84281721,1,0.125
barbed,9,116122,842814,0,0.0
barber,7,116126,842812,1,0.14285714285714285
barbers,2,1161266,8428124,0,0.0
barbershop,2,1161266356,8428124533,1,0.5
barbie,12,116132,842831,12,1.0
barbs,5,11616,84284,0,0.0
barca,6,11611,84274,6,1.0
barcalounger,5,116114575326,842746328512,5,1.0
barcelona,5,116124551,842716384,4,0.8
barclay,36,1161418,8427642,19,0.5277777777777778
barclays,2,11614186,84276424,2,1.0
bard,44,1162,8424,43,0.9772727272727273
bardanat,12,11621517,84244842,9,0.75
bardle,2,116242,842461,1,0.5
bards,4,11626,84244,4,1.0
bardsley,2,11626428,84244612,2,1.0
bardy,2,11628,84242,2,1.0
bare,301,1162,8421,0,0.0
bareback,9,11621114,84218476,1,0.1111111111111111
bared,62,11622,84214,0,0.0
barefoot,30,11622557,84215332,0,0.0
barefooted,2,1162255722,8421533214,0,0.0
bareheaded,4,1162321222,8421514414,0,0.0
barely,789,116248,842162,2,0.0025348542458808617
bareness,3,11625266,84218144,0,0.0
barest,11,116267,842142,0,0.0
bargain,56,1163135,8425438,0,0.0
bargained,8,116313522,842543814,0,0.0
bargaining,9,1163135353,8425438385,0,0.0
barge,20,11632,84251,0,0.0
barged,6,116322,842514,0,0.0
barges,2,116326,842514,0,0.0
barging,5,1163353,8425385,0,0.0
barie,2,11632,84231,1,0.5
baring,9,116353,842385,0,0.0
baritone,16,11637552,84232381,0,0.0
baritsu,2,1163767,8423242,0,0.0
barium,2,116375,842328,0,0.0
bark,78,1164,8426,2,0.02564102564102564
barked,105,116422,842614,0,0.0
barker,7,116426,842612,4,0.5714285714285714
barkgloria,2,1164345631,8426563234,0,0.0
barking,29,1164353,8426385,2,0.06896551724137931
barklike,2,11644342,84266361,0,0.0
barks,12,11646,84264,0,0.0
barley,5,116428,842612,1,0.2
barmaid,8,1165132,8428434,0,0.0
barman,45,116515,842848,0,0.0
barmen,2,116525,842818,0,0.0
barmy,9,11658,84282,8,0.8888888888888888
barn,121,1165,8428,21,0.17355371900826447
barnabas,10,11651116,84284844,10,1.0
barnard,8,1165162,8428424,8,1.0
barnes,6,116526,842814,4,0.6666666666666666
barney,19,116528,842812,17,0.8947368421052632
barnicot,9,11653157,84283732,0,0.0
barns,6,11656,84284,0,0.0
barnsley,2,11656428,84284612,2,1.0
barny,6,11658,84282,5,0.8333333333333334
barnyard,2,11658162,84282424,0,0.0
barometer,2,116552726,842381212,0,0.0
barometric,4,1165527631,8423812237,0,0.0
baron,371,11655,84238,290,0.7816711590296496
baronet,54,1165527,8423812,0,0.0
baronne,19,1165552,8423881,17,0.8947368421052632
barons,8,116556,842384,6,0.75
baroque,10,1165672,8423121,0,0.0
barr,622,1166,8422,392,0.6302250803858521
barrack,8,1166114,8422476,7,0.875
barracks,42,11661146,84224764,1,0.023809523809523808
barracuda,5,116611721,842247244,0,0.0
barrage,19,1166132,8422451,6,0.3157894736842105
barrayar,806,11661816,84224242,759,0.9416873449131513
barrayaran,1036,1166181615,8422424248,1005,0.9700772200772201
barrayaranish,2,1166181615363,8422424248345,2,1.0
barrayarans,244,11661816156,84224242484,231,0.9467213114754098
barred,52,116622,842214,0,0.0
barrel,98,116624,842216,0,0.0
barrels,29,1166246,8422164,0,0.0
barren,26,116625,842218,0,0.0
barrens,13,1166256,8422184,12,0.9230769230769231
barrett,4,1166277,8422122,4,1.0
barricade,13,116631122,842237441,0,0.0
barricaded,12,1166311222,8422374414,0,0.0
barricades,5,1166311226,8422374414,0,0.0
barricading,3,11663112353,84223744385,0,0.0
barrier,150,1166326,8422312,16,0.10666666666666667
barriers,37,11663266,84223124,0,0.0
barring,24,1166353,8422385,0,0.0
barrister,8,116636726,842234212,0,0.0
barristers,3,1166367266,8422342124,1,0.3333333333333333
barroom,2,1166555,8422338,0,0.0
barrow,14,116658,842231,1,0.07142857142857142
barrows,2,1166586,8422314,0,0.0
barry,451,11668,84222,387,0.8580931263858093
barrymore,75,116685562,842228321,57,0.76
barrymores,6,1166855626,8422283214,6,1.0
bars,133,1166,8424,4,0.03007518796992481
bart,2,1167,8422,2,1.0
bartemius,4,116725376,842218324,2,0.5
bartender,12,116725226,842218412,0,0.0
barter,7,116726,842212,0,0.0
bartered,6,11672622,84221214,2,0.3333333333333333
barth,22,11673,84225,20,0.9090909090909091
bartitsu,2,11673767,84223242,0,0.0
barto,14,11675,84223,9,0.6428571428571429
barton,5,116755,842238,5,1.0
barty,56,11678,84222,49,0.875
baruffio,4,11672235,84225533,4,1.0
baryta,2,116871,842224,0,0.0
bas,5,116,844,4,0.8
base,229,1162,8441,49,0.21397379912663755
baseball,13,11621144,84418466,0,0.0
baseboard,2,116215162,844183424,0,0.0
based,86,11622,84414,5,0.05813953488372093
baseless,4,11624266,84416144,0,0.0
baseline,12,11624352,84416381,0,0.0
basement,90,11625257,84418182,0,0.0
basements,3,116252576,844181824,0,0.0
bases,12,11626,84414,0,0.0
bash,16,1163,8445,0,0.0
bashed,6,116322,844514,0,0.0
bashful,4,1163274,8445526,0,0.0
bashing,4,1163353,8445385,1,0.25
bashir,2,116336,844532,2,1.0
basic,67,11631,84437,5,0.07462686567164178
basically,34,116311448,844374662,5,0.14705882352941177
basics,17,116316,844374,4,0.23529411764705882
basil,20,11634,84436,9,0.45
basilisk,53,11634364,84436346,16,0.3018867924528302
basilisks,3,116343646,844363464,3,1.0
basin,148,11635,84438,0,0.0
basinger,2,11635326,84438512,2,1.0
basins,2,116356,844384,0,0.0
basis,74,11636,84434,0,0.0
bask,3,1164,8446,0,0.0
basked,3,116422,844614,0,0.0
baskerville,114,11642673442,84461283661,107,0.9385964912280702
baskervilles,13,116426734426,844612836614,13,1.0
basket,156,116427,844612,0,0.0
basketball,17,1164271144,8446128466,0,0.0
basketeers,2,1164272266,8446121124,2,1.0
basketful,4,116427274,844612526,0,0.0
baskets,32,1164276,8446124,0,0.0
basking,11,1164353,8446385,0,0.0
basle,2,11642,84461,2,1.0
bass,41,1166,8444,0,0.0
basset,3,116627,844412,0,0.0
bassida,2,1166321,8444344,0,0.0
bassinet,8,11663527,84443812,0,0.0
basswood,3,11668552,84441334,3,1.0
basswoods,8,116685526,844413344,8,1.0
bastard,265,1167162,8442424,83,0.3132075471698113
bastards,69,11671626,84424244,0,0.0
bastardy,3,11671628,84424242,0,0.0
basti,3,11673,84423,0,0.0
bastille,35,11673442,84423661,32,0.9142857142857143
bastion,5,1167355,8442338,0,0.0
bat,176,117,842,9,0.05113636363636364
batch,43,11713,84275,1,0.023255813953488372
batches,6,1171326,8427514,0,0.0
bated,9,11722,84214,0,0.0
bates,7,11726,84214,3,0.42857142857142855
bath,135,1173,8425,6,0.044444444444444446
bathe,14,11732,84251,0,0.0
bathed,21,117322,842514,0,0.0
